date,rec,gs10,gs3m,unrate,m2,cpi
1/1/82,1,14.59,12.92,8.6,1770.4,94.4
2/1/82,1,14.43,14.28,8.9,1774.5,94.7
3/1/82,1,13.86,13.31,9,1786.5,94.7
4/1/82,1,13.87,13.34,9.3,1803.9,95
5/1/82,1,13.62,12.71,9.4,1815.4,95.9
6/1/82,1,14.3,13.08,9.6,1826,97
7/1/82,1,13.95,11.86,9.8,1831.5,97.5
8/1/82,1,13.06,9,9.8,1845.2,97.7
9/1/82,1,12.34,8.19,10.1,1858.4,97.7
10/1/82,1,10.91,7.97,10.4,1869.7,98.1
11/1/82,1,10.55,8.35,10.8,1883.7,98
12/1/82,0,10.54,8.2,10.8,1905.9,97.7
1/1/83,0,10.46,8.12,10.4,1959.4,97.9
2/1/83,0,10.72,8.39,10.4,1996.8,98
3/1/83,0,10.51,8.66,10.3,2015.2,98.1
4/1/83,0,10.4,8.51,10.2,2028.6,98.8
5/1/83,0,10.38,8.5,10.1,2043.1,99.2
6/1/83,0,10.85,9.14,10.1,2053.5,99.4
7/1/83,0,11.38,9.45,9.4,2064.8,99.8
8/1/83,0,11.85,9.74,9.5,2074,100.1
9/1/83,0,11.65,9.36,9.2,2083.2,100.4
10/1/83,0,11.54,8.99,8.8,2099.2,100.8
11/1/83,0,11.69,9.11,8.5,2112.3,101.1
12/1/83,0,11.83,9.36,8.3,2123.5,101.4
1/1/84,0,11.67,9.26,8,2138.2,102.1
2/1/84,0,11.84,9.46,7.8,2158.2,102.6
3/1/84,0,12.32,9.89,7.8,2175.2,102.9
4/1/84,0,12.63,10.07,7.7,2191.7,103.3
5/1/84,0,13.41,10.22,7.4,2204.1,103.5
6/1/84,0,13.56,10.26,7.2,2215.1,103.7
7/1/84,0,13.36,10.53,7.5,2223.5,104.1
8/1/84,0,12.72,10.9,7.5,2230.4,104.4
9/1/84,0,12.52,10.8,7.3,2244.4,104.7
10/1/84,0,12.16,10.12,7.4,2258.9,105.1
11/1/84,0,11.57,8.92,7.2,2281.4,105.3
12/1/84,0,11.5,8.34,7.3,2306.4,105.5
1/1/85,0,11.38,8.02,7.3,2332.4,105.7
